Names,Team,ADP,PoS Rank,2024 TDs,2024 Targets,Target Share,2025 QB Pass Att,QB TDs,Teammate,News,Desc,,,,,,,
Jayden Reed,(GB),95.8,WR45.0,6,75,16.16%,425,25,WR49.3 | WR58.0 | TE10.3,,,,,,,,,
Cooper Kupp,(SEA),96,WR44.3,6,100,26.18%,545,35,WR14.7,,,,,,,,,
Josh Downs,(IND),97.5,WR45.2,5,107,25.60%,605,16,WR47.3 | TE12.5,,New QB,,,,,,,
Jonnu Smith,(PIT),99.8,TE10.5,8,111,19.54%,584,28,WR23.3,,,,,,,,,
Tucker Kraft,(GB),104,TE10.3,,,15.09%,425,25,WR45.0 | WR49.3 | WR58.0,,,,,,,,,
Michael Pittman Jr.,(IND),104.3,WR47.3,3,111,24.29%,605,16,WR45.2 | TE12.5,,New QB,,,,,,,
Darnell Mooney,(ATL),107.2,WR48.0,5,106,21.12%,453,18,WR9.7 | TE16.8,shoulder injury,potential new qb,,,,,,,
Matthew Golden,(GB),110.5,WR49.3,,,,425,25,WR45.0 | WR58.0 | TE10.3,,,,,,,,,
Brandon Aiyuk,(SF),111.3,WR48.7,,,22.27%,455,20,WR39.2 | WR44.3 | TE3.0,(injury concerns),,,,,,,,
Tyler Warren,(IND),116.2,TE12.5,,,,605,16,WR45.2 | WR47.3,LIKE,New QB,,,,,,,
Rashid Shaheed,(NO),116.8,WR51.2,,,24.40%,,,WR32.0,,rookie,,,,,,,
Marquise Brown,(KC),118,WR51.8,,,15.63%,581,26,WR23.5 | WR25.2 | TE7.3,,,,,,,,,
Colston Loveland,(CHI),118.3,TE14.5,,,,384,15,WR19.7 | WR34.3 | WR55.2,LIKE,,,,,,,,
Jake Ferguson,(DAL),118.4,TE12.2,0,86,16.76%,594,23,WR2.7 | WR32.5,,QB injury,,,,,,,
Dalton Kincaid,(BUF),121.5,TE13.0,2,75,18.66%,483,28,WR40.0 | WR53.2 | WR60.0,,,,,,,,,
Keon Coleman,(BUF),123,WR53.2,,,15.53%,483,28,WR40.0 | WR60.0 | TE13.0,,,,,,,,,
Emeka Egbuka,(TB),124.5,WR52.8,,,,570,41,WR17.3 | WR33.0 | WR59.0,,,,,,,,,
Dallas Goedert,(PHI),127,TE14.2,,,19.33%,361,18,WR9.2 | WR24.7,,,,,,,,,
Christian Kirk,(HOU),127.7,WR53.8,,,19.50%,532,20,WR7.3 | WR60.0,,,,,,,,,
Rashod Bateman,(BAL),130,WR55.0,,,15.75%,474,41,WR26.3 | TE7.2,,,,,,,,,
Jayden Higgins,(HOU),131.5,WR60.0,,,,532,20,WR7.3 | WR53.8,,,,,,,,,
Hunter Henry,(NE),131.5,TE16.5,2,97,20.55%,338,15,WR43.2 | WR58.5,,,,,,,,,
Luther Burden III,(CHI),131.7,WR55.2,,,,384,15,WR19.7 | WR34.3 | TE14.5,,,,,,,,,
Marvin Mims Jr.,(DEN),132.8,WR55.4,,,9.47%,567,29,WR23.5 | TE8.5,,,,,,,,,
Tre Harris,(LAC),132.8,WR56.0,,,,504,23,WR11.3 | WR61.0,,,,,,,,,
Quentin Johnston,(LAC),135,WR61.0,8,91,21.46%,504,23,WR11.3 | WR56.0,,,,,,,,,
Jalen McMillan,(TB),136,WR59.0,,,12.58%,570,41,WR17.3 | WR33.0 | WR52.8,,,,,,,,,
Romeo Doubs,(GB),139.3,WR58.0,4,72,19.62%,425,25,WR45.0 | WR49.3 | TE10.3,,,,,,,,,
Josh Palmer,(BUF),141,WR60.0,1,65,14.87%,483,28,WR40.0 | WR53.2 | TE13.0,,,,,,,,,
Adam Thielen,(CAR),142,WR63.0,5,62,20.20%,384,15,WR29.3 | WR62.0,,,,,,,,,
Diontae Johnson,(CLE),142,WR61.0,3,67,17.40%,248,12,WR32.8 | WR58.0 | TE8.3,,,,,,,,,
Kyle Williams,(NE),142.5,WR58.5,,,,338,15,WR43.2 | TE16.5,LIKE,,,,,,,,
Kyle Pitts,(ATL),142.8,TE16.8,4,74,13.73%,453,18,WR9.7 | WR48.0,,potential new qb,,,,,,,
Darren Waller,(MIA),143,TE17.0,,,,399,19,WR13.7 | WR30.8,,,,,,,,,
Cedric Tillman,(CLE),143,WR58.0,,,12.22%,296,13,WR32.8 | WR61.0 | TE8.3,,,,,,,,,
Xavier Legette,(CAR),148,WR62.0,4,84,17%,384,15,WR29.3 | WR63.0,,,,,,,,,
Wandale Robinson,(NYG),149,WR58.0,3,140,25.27%,336,16,WR5.5,,,,,,,,,
