season,final_rank,team_id,team_name,owner,division,division_rank,overall_rank_reg_season,wins,losses,ties,win_pct,points_for,points_against,streak
2021,1,11,Stafford University,Chris,Cocks,1,2,10,4,0,0.714,1921.3,1595.74,W5
2021,2,1,Oreos,Joey,Cocks,2,3,9,5,0,0.643,1988.32,1806.68,W6
2021,3,14,Dude Lipas,sean,Sheen,1,1,10,4,0,0.714,1760.78,1739.1,W1
2021,4,5,Ginger Ninger,,Cocks,3,5,9,5,0,0.643,1797.92,1700.72,L1
2021,5,9,McKittle,,Stupid Faggots,1,10,5,9,0,0.357,1574.3,1679.14,W1
2021,6,4,Adam Rank,,The Isaac Shake,1,4,9,5,0,0.643,1657.78,1572.94,W2
2021,7,15,Sarcastaball,,The Isaac Shake,3,9,6,8,0,0.429,1596.0,1717.72,L1
2021,8,7,Saquon I STFG,,Stupid Faggots,3,12,2,12,0,0.143,1420.3,1793.14,L9
2021,9,8,The GLIZZYS,,The Isaac Shake,2,7,7,7,0,0.5,1641.78,1822.2,L1
2021,10,3,Show me your TDs,,Sheen,2,6,8,6,0,0.571,1735.34,1617.4,W1
2021,11,10,Gage is gay,,Sheen,3,8,6,8,0,0.429,1630.72,1630.86,L2
2021,12,2,4th Quarter Hurts,,Stupid Faggots,2,11,3,11,0,0.214,1695.98,1744.88,L4
