season,final_rank,team_id,team_name,owner,division,division_rank,overall_rank_reg_season,wins,losses,ties,win_pct,points_for,points_against,streak
2020,1,9,Huntingforkickers,Ricci,The Isaac Shake,2,5,7,6,0,0.538,1650.66,1624.06,W2
2020,2,2,THICCCCFILA,Connor,Fat Prego BlTCH NUDE,5,7,6,7,0,0.462,1741.84,1674.1,L3
2020,3,1,Deshaun Dotson,Joey,Fat Prego BlTCH NUDE,2,3,7,6,0,0.538,1792.3,1708.46,W1
2020,4,7,Tatum is linebacker,,Fat Prego BlTCH NUDE,1,1,10,3,0,0.769,1649.28,1500.16,W1
2020,5,5,Ginger Ninger,,Fat Prego BlTCH NUDE,4,6,6,7,0,0.462,1643.06,1692.28,L1
2020,6,11,C-Money,,Fat Prego BlTCH NUDE,6,8,6,7,0,0.462,1636.82,1620.12,W2
2020,7,3,Show Me your TDs,,The Isaac Shake,1,2,9,4,0,0.692,1775.88,1538.86,L1
2020,8,8,The GLIZZYS,,Fat Prego BlTCH NUDE,3,4,7,6,0,0.538,1504.18,1519.38,L1
2020,9,14,Meatzzas,,The Isaac Shake,3,9,6,7,0,0.462,1577.1,1540.6,W1
2020,10,4,The I Sack Shake,,The Isaac Shake,5,11,5,8,0,0.385,1458.1,1559.84,W1
2020,11,10,bolsh,,The Isaac Shake,4,10,5,8,0,0.385,1504.98,1617.36,L1
2020,12,15,Sarcastaball,,The Isaac Shake,6,12,4,9,0,0.308,1405.8,1744.78,L2
