season,final_rank,team_id,team_name,owner,division,division_rank,overall_rank_reg_season,wins,losses,ties,win_pct,points_for,points_against,streak
2022,1,4,Pat Bateman,Isaac,Fuck Kyle,2,6,7,7,0,0.5,1717.26,1713.94,W1
2022,2,11,kamaravirus,Chris,Fuck Kyle,3,5,7,7,0,0.5,1657.92,1706.3,L3
2022,3,1,Space Mav,Joey,Fuck Kyle,1,1,12,2,0,0.857,1739.26,1626.82,W3
2022,4,5,Wyle Wiverd,,ZLSELD,1,2,10,4,0,0.714,1843.3,1507.1,W1
2022,5,9,HAPPY MAV,,ZLSELD,2,4,8,6,0,0.571,1815.26,1721.9,W3
2022,6,14,Dude Lipas,,Crippling Alcoholics,1,3,9,5,0,0.643,1752.98,1478.92,W1
2022,7,7,Roofie My Kupp,,Crippling Alcoholics,4,11,4,10,0,0.286,1478.4,1595.42,L5
2022,8,3,Show me your TDs,,ZLSELD,3,8,7,7,0,0.5,1567.68,1635.4,L1
2022,9,15,The Peak,,Crippling Alcoholics,2,9,7,7,0,0.5,1583.18,1530.74,W3
2022,10,2,Short Bus Express,,Fuck Kyle,4,7,7,7,0,0.5,1646.88,1722.74,L1
2022,11,10,the people's tight end,,ZLSELD,4,12,2,12,0,0.143,1489.34,1840.54,L4
2022,12,8,The GLIZZYS,,Crippling Alcoholics,3,10,4,10,0,0.286,1534.14,1745.78,L1
