season,final_rank,team_id,team_name,owner,division,division_rank,overall_rank_reg_season,wins,losses,ties,win_pct,points_for,points_against,streak
2024,1,8,The GLIZZYS,Luke,Cocks,2,5,8,6,0,0.571,1630.64,1646.06,W1
2024,2,9,OG CARHARTT,Ricci,Fags,1,2,10,4,0,0.714,1823.74,1616.0,W1
2024,3,10,CR North Indians,Cat,Fags,2,6,8,6,0,0.571,1881.48,1736.06,W1
2024,4,14,3-Star REECHIE,,Chestas,1,1,10,4,0,0.714,1931.12,1632.08,W2
2024,5,11,Naz Reid,,Cocks,1,4,9,5,0,0.643,1885.66,1607.56,W1
2024,6,2,RIP Rashee,,Chestas,2,3,9,5,0,0.643,1743.52,1643.24,L1
2024,7,7,WHITEBOY FOOTBALL,,Chestas,4,10,5,9,0,0.357,1509.74,1826.36,L1
2024,8,5,Devin Singularity,,Cocks,4,9,5,9,0,0.357,1615.76,1693.5,L2
2024,9,1,PWD,,Cocks,3,8,5,9,0,0.357,1681.14,1872.8,L1
2024,10,15,Sex God,,Chestas,3,7,7,7,0,0.5,1693.92,1757.54,W1
2024,11,4,Sean Costigan,,Fags,3,11,4,10,0,0.286,1677.26,1879.16,L1
2024,12,3,Rizzlers,,Fags,4,12,4,10,0,0.286,1509.64,1673.26,L1
2025,1,3,Rizzlers,Mason,Whole,1,1,10,4,0,0.714,1771.46,1683.7,W1
2025,2,2,Tequila Sunrise,Connor,Skim,3,7,7,7,0,0.5,1500.46,1639.96,W4
2025,3,9,Bo Dix,Ricci,Skim,1,4,7,7,0,0.5,1646.88,1640.14,L3
2025,4,5,Ginger Ninger,,Whole,3,3,8,6,0,0.571,1654.54,1696.8,L1
2025,5,4,CHILD OF GOD,,Whole,2,2,10,4,0,0.714,1986.44,1797.64,L2
2025,6,15,Money God,,Skim,2,8,7,7,0,0.5,1529.46,1588.1,W1
2025,7,1,Building Rome,,Whole,5,6,7,7,0,0.5,1666.52,1775.54,W2
2025,8,7,WHITEBOY FOOTBALL,,Skim,5,11,5,9,0,0.357,1592.04,1668.72,L1
2025,9,10,The people's TightEnd,,Whole,4,5,7,7,0,0.5,1902.42,1690.18,W1
2025,10,11,Kyler the Creator,,Skim,4,9,6,8,0,0.429,1785.2,1714.12,W4
2025,11,8,The GLIZZYS,,Skim,6,12,4,10,0,0.286,1438.14,1581.24,L5
2025,12,14,The Family Guy,,Whole,6,10,6,8,0,0.429,1703.24,1700.66,L1
