season,user_id,owner,team_name,final_rank,reg_season_rank,reg_record,reg_win_pct,reg_pf,reg_pa,playoff_record,playoff_games,playoff_pf,total_record,total_pf,avg_ppg,high_week_score,high_week_when,low_week_score,low_week_when
2021,25033943,Isaac,Adam Rank,6,4,9-5-0,0.6429,1657.78,1572.94,0-1-0,1,97.84,9-6-0,1755.62,117.04,147.04,W4 vs Luke,65.66,W11 vs Mason
2021,22539599,Charlie,Sarcastaball,7,9,6-8-0,0.4286,1596.0,1717.72,0-0-0,0,0.0,6-8-0,1596.0,114.0,166.86,W1 vs Luke,83.48,W10 vs Connor
2021,21680276,CJ,Saquon I STFG,8,12,2-12-0,0.1429,1420.3,1793.14,0-0-0,0,0.0,2-12-0,1420.3,101.45,140.02,W6 vs sean,74.7,W1 vs Ricci
2021,25036608,Luke,The GLIZZYS,9,7,7-7-0,0.5,1641.78,1822.2,0-0-0,0,0.0,7-7-0,1641.78,117.27,163.44,W5 vs Charlie,53.04,W12 vs Mason
2021,21679447,Mason,Show me your TDs,10,6,8-6-0,0.5714,1735.34,1617.4,0-2-0,2,182.4,8-8-0,1917.74,119.86,179.9,W2 vs sean,63.28,W10 vs Chris
2021,21239480,Connor,Gage is gay,11,8,6-8-0,0.4286,1630.72,1630.86,0-0-0,0,0.0,6-8-0,1630.72,116.48,149.2,W6 vs Mason,74.54,W15 vs CJ
2021,21679454,Connie,4th Quarter Hurts,12,11,3-11-0,0.2143,1695.98,1744.88,0-0-0,0,0.0,3-11-0,1695.98,121.14,154.6,W1 vs Mason,78.46,W17 vs Cat
2022,25033943,Isaac,Pat Bateman,1,6,7-7-0,0.5,1717.26,1713.94,3-0-0,3,419.52,10-7-0,2136.78,125.69,166.36,W11 vs Ricci,80.24,W6 vs Mason
2022,21680417,Chris,kamaravirus,2,5,7-7-0,0.5,1657.92,1706.3,2-1-0,3,369.46,9-8-0,2027.38,119.26,161.58,W8 vs Ricci,74.6,W17 vs Isaac
2022,21679440,Joey,Space Mav,3,1,12-2-0,0.8571,1739.26,1626.82,1-1-0,2,253.7,13-3-0,1992.96,124.56,170.26,W10 vs Mason,49.46,W11 vs Kyle
2022,21680087,Kyle,Wyle Wiverd,4,2,10-4-0,0.7143,1843.3,1507.1,0-2-0,2,211.28,10-6-0,2054.58,128.41,170.92,W12 vs Cat,82.3,W17 vs Joey
