season,final_rank,team_id,team_name,owner,division,division_rank,overall_rank_reg_season,wins,losses,ties,win_pct,points_for,points_against,streak
2023,1,2,Milk Man,Connor,Addicts,1,2,8,6,0,0.571,1812.08,1700.56,W2
2023,2,4,Nathanael Bartholomew,Isaac,Cornballs,1,1,11,3,0,0.786,1756.44,1588.46,W4
2023,3,14,BIG BALLER BRAND,sean,Cornballs,2,5,8,6,0,0.571,1701.78,1708.94,L2
2023,4,15,Gang,,Winners,1,3,8,6,0,0.571,1887.72,1626.22,L2
2023,5,7,Thanksgiving,,Addicts,2,6,7,7,0,0.5,1748.96,1703.86,L2
2023,6,8,The GLIZZYS,,Winners,2,4,8,6,0,0.571,1749.02,1680.64,L1
2023,7,3,Luh TD lickr,,Addicts,3,8,7,7,0,0.5,1706.76,1632.08,W1
2023,8,10,CR North Indians,,Cornballs,3,7,7,7,0,0.5,1734.12,1711.38,L1
2023,9,5,Ginger Ninger,,Cornballs,4,11,5,9,0,0.357,1576.02,1788.8,W3
2023,10,1,Win Streak,,Winners,4,12,4,10,0,0.286,1578.08,1812.88,W2
2023,11,11,Mao Zelinskdong,,Addicts,4,9,6,8,0,0.429,1603.32,1700.18,L4
2023,12,9,KIM JOE UN,,Winners,3,10,5,9,0,0.357,1547.68,1747.98,W1
