user_id,owner,season,team_id,team_name
21680682,Andrew,2019,9,Huntingforkickers
21680682,Andrew,2020,9,Huntingforkickers
21680682,Andrew,2021,9,McKittle
21680682,Andrew,2022,9,HAPPY MAV
21680682,Andrew,2023,9,KIM JOE UN
21680682,Andrew,2024,9,OG CARHARTT
21680682,Andrew,2025,9,Bo Dix
21687734,Ari,2019,12,i wish i actually drafted
21680276,CJ,2019,7,instant kamara
21680276,CJ,2020,7,Tatum is linebacker
21680276,CJ,2021,7,Saquon I STFG
21680276,CJ,2022,7,Roofie My Kupp
22539599,Charlie,2019,15,PurpleCobras
22539599,Charlie,2020,15,Sarcastaball
22539599,Charlie,2021,15,Sarcastaball
22539599,Charlie,2022,15,The Peak
22539599,Charlie,2023,15,Gang
22539599,Charlie,2024,15,Sex God
22539599,Charlie,2025,15,Money God
21680417,Chris,2019,8,Prestige Worldwide
21680417,Chris,2020,11,C-Money
21680417,Chris,2021,11,Stafford University
21680417,Chris,2022,11,kamaravirus
21680417,Chris,2023,11,Mao Zelinskdong
21680417,Chris,2024,11,Naz Reid
21680417,Chris,2025,11,Kyler the Creator
21679454,Connie,2019,2,THICCCCFILA
21679454,Connie,2020,2,THICCCCFILA
21679454,Connie,2021,2,4th Quarter Hurts
21679454,Connie,2022,2,Short Bus Express
21679454,Connie,2023,2,Milk Man
21679454,Connie,2024,2,RIP Rashee
21679454,Connie,2025,2,Tequila Sunrise
21239480,Connor,2019,10,Tight end 1
21239480,Connor,2020,10,bolsh
21239480,Connor,2021,10,Gage is gay
21239480,Connor,2022,10,the people's tight end
21239480,Connor,2023,10,CR North Indians
21239480,Connor,2024,10,CR North Indians
21239480,Connor,2025,10,The people's TightEnd
21687512,Costigan,2019,11,Wheyman
30533399,Evan,2023,7,Thanksgiving
30533399,Evan,2024,7,WHITEBOY FOOTBALL
30533399,Evan,2025,7,WHITEBOY FOOTBALL
25033943,Isaac,2020,4,The I Sack Shake
25033943,Isaac,2021,4,Adam Rank
25033943,Isaac,2022,4,Pat Bateman
25033943,Isaac,2023,4,Nathanael Bartholomew
25033943,Isaac,2024,4,Sean Costigan
25033943,Isaac,2025,4,CHILD OF GOD
21679440,Joey,2019,1,On Jah
21679440,Joey,2020,1,Deshaun Dotson
21679440,Joey,2021,1,Oreos
21679440,Joey,2022,1,Space Mav
21679440,Joey,2023,1,Win Streak
21679440,Joey,2024,1,PWD
21679440,Joey,2025,1,Building Rome
5159801,John,2019,13,MiamiDolphins
21680267,Krish,2019,6,Man tit
21680087,Kyle,2019,5,Fuk Joey
21680087,Kyle,2020,5,Ginger Ninger
21680087,Kyle,2021,5,Ginger Ninger
21680087,Kyle,2022,5,Wyle Wiverd
21680087,Kyle,2023,5,Ginger Ninger
21680087,Kyle,2024,5,Devin Singularity
21680087,Kyle,2025,5,Ginger Ninger
25036608,Luke,2020,8,The GLIZZYS
25036608,Luke,2021,8,The GLIZZYS
25036608,Luke,2022,8,The GLIZZYS
25036608,Luke,2023,8,The GLIZZYS
25036608,Luke,2024,8,The GLIZZYS
25036608,Luke,2025,8,The GLIZZYS
21679447,Mason,2019,3,Mdog346
21679447,Mason,2020,3,Show Me your TDs
21679447,Mason,2021,3,Show me your TDs
21679447,Mason,2022,3,Show me your TDs
21679447,Mason,2023,3,Luh TD lickr
21679447,Mason,2024,3,Rizzlers
21679447,Mason,2025,3,Rizzlers
21688760,Sean,2019,14,dumb thots
21688760,Sean,2020,14,Meatzzas
21688760,Sean,2021,14,Dude Lipas
21688760,Sean,2022,14,Dude Lipas
21688760,Sean,2023,14,BIG BALLER BRAND
21688760,Sean,2024,14,3-Star REECHIE
21688760,Sean,2025,14,The Family Guy
