type,length,start_season,start_week,end_season,end_week,total_pf,total_pa,user_id,owner
loss,3,2021,13,2021,15,311.22,369.06,21239480,Connor
loss,3,2022,1,2022,3,283.24,421.64,21239480,Connor
win,3,2021,7,2021,9,385.56,352.44,25036608,Luke
loss,3,2024,3,2024,5,327.86,388.54,25036608,Luke
win,3,2021,4,2021,6,409.7,302.0,25033943,Isaac
win,3,2021,8,2021,10,355.5,278.8,25033943,Isaac
loss,3,2022,2,2022,4,355.78,410.32,25033943,Isaac
win,3,2023,7,2023,9,404.44,289.16,25033943,Isaac
win,3,2024,11,2024,13,433.04,347.08,25033943,Isaac
loss,3,2025,13,2025,15,340.2,417.02,25033943,Isaac
loss,3,2023,13,2023,15,376.34,472.64,30533399,Evan
loss,3,2024,1,2024,3,316.18,422.78,30533399,Evan
win,3,2024,4,2024,6,390.0,360.94,30533399,Evan
loss,3,2025,5,2025,7,338.7,432.48,30533399,Evan
loss,3,2025,10,2025,12,333.2,389.78,30533399,Evan
